category,chapter,axis,confidence,outcome,score
1B,5,Concreteness,high,CONFIRMED,0
1B,5,Interiority,high,CONFIRMED,0
1B,5,Attention,high,PARTIAL,1
1B,5,Silence,high,CONFIRMED,0
1B,5,Signature,high,CONFIRMED,0
1B,6,Duration,high,PARTIAL,1
1B,6,Register,high,CONFIRMED,0
1B,6,Concreteness,high,CONFIRMED,0
1B,6,Interiority,high,CONFIRMED,0
1B,6,Attention,high,PARTIAL,1
1B,6,Silence,high,CONFIRMED,0
1B,6,Signature,high,CONFIRMED,0
1B,7,Duration,high,VIOLATED,2
1B,7,Register,high,CONFIRMED,0
1B,7,Concreteness,high,CONFIRMED,0
1B,7,Interiority,high,CONFIRMED,0
1B,7,Attention,high,PARTIAL,1
1B,7,Silence,high,CONFIRMED,0
1B,7,Signature,high,CONFIRMED,0
1B,8,Duration,high,VIOLATED,2
1B,8,Register,high,CONFIRMED,0
1B,8,Concreteness,high,CONFIRMED,0
1B,8,Interiority,high,CONFIRMED,0
1B,8,Attention,high,CONFIRMED,0
1B,8,Silence,high,CONFIRMED,0
1B,8,Signature,high,CONFIRMED,0
1B,9,Duration,,N/A,
1B,9,Register,,N/A,
1B,9,Concreteness,,N/A,
1B,9,Interiority,,N/A,
1B,9,Attention,,N/A,
1B,9,Silence,,N/A,
1B,9,Signature,,N/A,
1B,10,Duration,high,VIOLATED,2
1B,10,Register,high,CONFIRMED,0
1B,10,Concreteness,high,PARTIAL,1
1B,10,Interiority,high,CONFIRMED,0
1B,10,Attention,high,VIOLATED,2
1B,10,Silence,high,CONFIRMED,0
1B,10,Signature,high,CONFIRMED,0
1B,11,Duration,high,VIOLATED,2
1B,11,Register,high,CONFIRMED,0
1B,11,Concreteness,high,PARTIAL,1
1B,11,Interiority,high,CONFIRMED,0
1B,11,Attention,high,VIOLATED,2
1B,11,Silence,high,CONFIRMED,0
1B,11,Signature,high,CONFIRMED,0
1B,12,Duration,,N/A,
1B,12,Register,,N/A,
1B,12,Concreteness,,N/A,
1B,12,Interiority,,N/A,
1B,12,Attention,,N/A,
1B,12,Silence,,N/A,
1B,12,Signature,,N/A,
1C,1,Duration,high,VIOLATED,2
1C,1,Register,high,CONFIRMED,0
1C,1,Concreteness,high,CONFIRMED,0
1C,1,Interiority,high,CONFIRMED,0
1C,1,Attention,high,CONFIRMED,0
1C,1,Silence,high,CONFIRMED,0
1C,1,Signature,high,CONFIRMED,0
1C,2,Duration,high,CONFIRMED,0
1C,2,Register,high,CONFIRMED,0
1C,2,Concreteness,high,CONFIRMED,0
1C,2,Interiority,high,CONFIRMED,0
1C,2,Attention,high,CONFIRMED,0
1C,2,Silence,high,CONFIRMED,0
1C,2,Signature,high,CONFIRMED,0
1C,3,Duration,high,PARTIAL,1
1C,3,Register,high,CONFIRMED,0
1C,3,Concreteness,high,CONFIRMED,0
1C,3,Interiority,high,CONFIRMED,0
1C,3,Attention,high,CONFIRMED,0
1C,3,Silence,high,CONFIRMED,0
1C,3,Signature,high,CONFIRMED,0
1C,4,Duration,high,VIOLATED,2
1C,4,Register,high,CONFIRMED,0
1C,4,Concreteness,high,CONFIRMED,0
1C,4,Interiority,high,CONFIRMED,0
1C,4,Attention,high,CONFIRMED,0
1C,4,Silence,high,CONFIRMED,0
1C,4,Signature,high,CONFIRMED,0
1C,5,Duration,high,CONFIRMED,0
1C,5,Register,high,CONFIRMED,0
1C,5,Concreteness,high,CONFIRMED,0
1C,5,Interiority,high,CONFIRMED,0
1C,5,Attention,high,CONFIRMED,0
1C,5,Silence,high,CONFIRMED,0
1C,5,Signature,high,CONFIRMED,0
1C,6,Duration,high,CONFIRMED,0
1C,6,Register,high,CONFIRMED,0
1C,6,Concreteness,high,CONFIRMED,0
1C,6,Interiority,high,CONFIRMED,0
1C,6,Attention,high,CONFIRMED,0
1C,6,Silence,high,CONFIRMED,0
1C,6,Signature,high,CONFIRMED,0
1C,7,Duration,high,PARTIAL,1
1C,7,Register,high,CONFIRMED,0
1C,7,Concreteness,high,CONFIRMED,0
1C,7,Interiority,high,CONFIRMED,0
1C,7,Attention,high,PARTIAL,1
1C,7,Silence,high,CONFIRMED,0
1C,7,Signature,high,CONFIRMED,0
1C,8,Duration,high,CONFIRMED,0
1C,8,Register,high,CONFIRMED,0
1C,8,Concreteness,high,CONFIRMED,0
1C,8,Interiority,high,CONFIRMED,0
1C,8,Attention,high,CONFIRMED,0
1C,8,Silence,high,CONFIRMED,0
1C,8,Signature,high,CONFIRMED,0
1C,9,Duration,high,CONFIRMED,0
1C,9,Register,high,CONFIRMED,0
1C,9,Concreteness,high,CONFIRMED,0
1C,9,Interiority,high,CONFIRMED,0
1C,9,Attention,high,PARTIAL,1
1C,9,Silence,high,CONFIRMED,0
1C,9,Signature,high,CONFIRMED,0
1C,10,Duration,high,CONFIRMED,0
1C,10,Register,high,CONFIRMED,0
1C,10,Concreteness,high,CONFIRMED,0
1C,10,Interiority,high,CONFIRMED,0
1C,10,Attention,high,CONFIRMED,0
1C,10,Silence,high,CONFIRMED,0
1C,10,Signature,high,CONFIRMED,0
1C,11,Duration,high,PARTIAL,1
1C,11,Register,high,CONFIRMED,0
1C,11,Concreteness,high,CONFIRMED,0
1C,11,Interiority,high,CONFIRMED,0
1C,11,Attention,high,CONFIRMED,0
1C,11,Silence,high,CONFIRMED,0
1C,11,Signature,high,CONFIRMED,0
1C,12,Duration,,N/A,
1C,12,Register,,N/A,
1C,12,Concreteness,,N/A,
1C,12,Interiority,,N/A,
1C,12,Attention,,N/A,
1C,12,Silence,,N/A,
1C,12,Signature,,N/A,
2,1,Duration,low,VIOLATED,1
2,1,Register,low,VIOLATED,1
2,1,Concreteness,low,VIOLATED,1
2,1,Interiority,low,VIOLATED,1
2,1,Attention,low,VIOLATED,1
2,1,Silence,low,PARTIAL,0.5
2,1,Signature,low,VIOLATED,1
2,2,Duration,med,VIOLATED,1.5
2,2,Register,med,PARTIAL,1
2,2,Concreteness,med,CONFIRMED,0
2,2,Interiority,med,CONFIRMED,0
2,2,Attention,med,PARTIAL,1
2,2,Silence,med,CONFIRMED,0
2,2,Signature,med,CONFIRMED,0
2,3,Duration,med,VIOLATED,1.5
2,3,Register,med,PARTIAL,1
2,3,Concreteness,med,CONFIRMED,0
2,3,Interiority,med,VIOLATED,1.5
2,3,Attention,,N/A,
2,3,Silence,med,CONFIRMED,0
2,3,Signature,med,CONFIRMED,0
2,4,Duration,med,VIOLATED,1.5
2,4,Register,med,CONFIRMED,0
2,4,Concreteness,med,CONFIRMED,0
2,4,Interiority,med,CONFIRMED,0
2,4,Attention,med,CONFIRMED,0
2,4,Silence,med,VIOLATED,1.5
2,4,Signature,med,PARTIAL,1
2,5,Duration,high,VIOLATED,2
2,5,Register,high,CONFIRMED,0
2,5,Concreteness,high,CONFIRMED,0
2,5,Interiority,high,CONFIRMED,0
2,5,Attention,high,PARTIAL,1
2,5,Silence,high,CONFIRMED,0
2,5,Signature,high,CONFIRMED,0
2,6,Duration,med,VIOLATED,1.5
2,6,Register,med,CONFIRMED,0
2,6,Concreteness,med,CONFIRMED,0
2,6,Interiority,med,CONFIRMED,0
2,6,Attention,med,VIOLATED,1.5
2,6,Silence,med,CONFIRMED,0
2,6,Signature,med,PARTIAL,1
2,7,Duration,high,PARTIAL,1
2,7,Register,high,CONFIRMED,0
2,7,Concreteness,high,CONFIRMED,0
2,7,Interiority,high,CONFIRMED,0
2,7,Attention,high,CONFIRMED,0
2,7,Silence,high,CONFIRMED,0
2,7,Signature,high,PARTIAL,1
2,8,Duration,high,CONFIRMED,0
2,8,Register,high,CONFIRMED,0
2,8,Concreteness,high,CONFIRMED,0
2,8,Interiority,high,CONFIRMED,0
2,8,Attention,high,CONFIRMED,0
2,8,Silence,high,CONFIRMED,0
2,8,Signature,high,PARTIAL,1
2,9,Duration,high,VIOLATED,2
2,9,Register,high,VIOLATED,2
2,9,Concreteness,high,PARTIAL,1
2,9,Interiority,high,CONFIRMED,0
2,9,Attention,high,CONFIRMED,0
2,9,Silence,high,CONFIRMED,0
2,9,Signature,high,PARTIAL,1
2,10,Duration,high,VIOLATED,2
2,10,Register,high,PARTIAL,1
2,10,Concreteness,high,CONFIRMED,0
2,10,Interiority,high,CONFIRMED,0
2,10,Attention,high,CONFIRMED,0
2,10,Silence,high,CONFIRMED,0
2,10,Signature,high,CONFIRMED,0
2,11,Duration,high,VIOLATED,2
2,11,Register,high,PARTIAL,1
2,11,Concreteness,high,CONFIRMED,0
2,11,Interiority,high,PARTIAL,1
2,11,Attention,high,VIOLATED,2
2,11,Silence,high,CONFIRMED,0
2,11,Signature,high,CONFIRMED,0
2,12,Duration,,N/A,
2,12,Register,,N/A,
2,12,Concreteness,,N/A,
2,12,Interiority,,N/A,
2,12,Attention,,N/A,
2,12,Silence,,N/A,
2,12,Signature,,N/A,
3,1,Duration,high,CONFIRMED,0
3,1,Register,high,CONFIRMED,0
3,1,Concreteness,high,CONFIRMED,0
3,1,Interiority,high,CONFIRMED,0
3,1,Attention,,N/A,
3,1,Silence,high,CONFIRMED,0
3,1,Signature,high,CONFIRMED,0
3,2,Duration,high,CONFIRMED,0
3,2,Register,high,CONFIRMED,0
3,2,Concreteness,high,CONFIRMED,0
3,2,Interiority,high,CONFIRMED,0
3,2,Attention,high,PARTIAL,1
3,2,Silence,high,CONFIRMED,0
3,2,Signature,high,CONFIRMED,0
3,3,Duration,high,CONFIRMED,0
3,3,Register,high,CONFIRMED,0
3,3,Concreteness,high,CONFIRMED,0
3,3,Interiority,high,PARTIAL,1
3,3,Attention,,N/A,
3,3,Silence,high,CONFIRMED,0
3,3,Signature,high,CONFIRMED,0
3,4,Duration,high,CONFIRMED,0
3,4,Register,high,CONFIRMED,0
3,4,Concreteness,high,CONFIRMED,0
3,4,Interiority,high,PARTIAL,1
3,4,Attention,,N/A,
3,4,Silence,high,CONFIRMED,0
3,4,Signature,high,CONFIRMED,0
3,5,Duration,med,CONFIRMED,0
3,5,Register,med,CONFIRMED,0
3,5,Concreteness,med,CONFIRMED,0
3,5,Interiority,med,CONFIRMED,0
3,5,Attention,,N/A,
3,5,Silence,med,CONFIRMED,0
3,5,Signature,med,PARTIAL,1
3,6,Duration,high,PARTIAL,1
3,6,Register,high,VIOLATED,2
3,6,Concreteness,high,VIOLATED,2
3,6,Interiority,high,VIOLATED,2
3,6,Attention,high,VIOLATED,2
3,6,Silence,high,PARTIAL,1
3,6,Signature,high,CONFIRMED,0
3,7,Duration,med,VIOLATED,1.5
3,7,Register,med,CONFIRMED,0
3,7,Concreteness,med,CONFIRMED,0
3,7,Interiority,med,CONFIRMED,0
3,7,Attention,,N/A,
3,7,Silence,med,CONFIRMED,0
3,7,Signature,med,CONFIRMED,0
3,8,Duration,high,CONFIRMED,0
3,8,Register,high,CONFIRMED,0
3,8,Concreteness,high,CONFIRMED,0
3,8,Interiority,high,PARTIAL,1
3,8,Attention,high,CONFIRMED,0
3,8,Silence,high,CONFIRMED,0
3,8,Signature,high,CONFIRMED,0
3,9,Duration,high,VIOLATED,2
3,9,Register,high,PARTIAL,1
3,9,Concreteness,high,CONFIRMED,0
3,9,Interiority,high,CONFIRMED,0
3,9,Attention,high,CONFIRMED,0
3,9,Silence,high,CONFIRMED,0
3,9,Signature,high,CONFIRMED,0
3,10,Duration,high,VIOLATED,2
3,10,Register,high,CONFIRMED,0
3,10,Concreteness,high,CONFIRMED,0
3,10,Interiority,high,CONFIRMED,0
3,10,Attention,high,PARTIAL,1
3,10,Silence,high,CONFIRMED,0
3,10,Signature,high,CONFIRMED,0
3,11,Duration,high,VIOLATED,2
3,11,Register,high,CONFIRMED,0
3,11,Concreteness,high,CONFIRMED,0
3,11,Interiority,high,PARTIAL,1
3,11,Attention,high,PARTIAL,1
3,11,Silence,high,CONFIRMED,0
3,11,Signature,high,CONFIRMED,0
3,12,Duration,,N/A,
3,12,Register,,N/A,
3,12,Concreteness,,N/A,
3,12,Interiority,,N/A,
3,12,Attention,,N/A,
3,12,Silence,,N/A,
3,12,Signature,,N/A,
4.1,1,Duration,med,VIOLATED,1.5
4.1,1,Register,med,CONFIRMED,0
4.1,1,Concreteness,med,CONFIRMED,0
4.1,1,Interiority,med,CONFIRMED,0
4.1,1,Attention,med,PARTIAL,1
4.1,1,Silence,med,CONFIRMED,0
4.1,1,Signature,med,PARTIAL,1
4.1,2,Duration,high,VIOLATED,2
4.1,2,Register,high,CONFIRMED,0
4.1,2,Concreteness,high,CONFIRMED,0
4.1,2,Interiority,high,CONFIRMED,0
4.1,2,Attention,high,CONFIRMED,0
4.1,2,Silence,high,CONFIRMED,0
4.1,2,Signature,high,CONFIRMED,0
4.1,3,Duration,high,VIOLATED,2
4.1,3,Register,high,CONFIRMED,0
4.1,3,Concreteness,high,CONFIRMED,0
4.1,3,Interiority,high,PARTIAL,1
4.1,3,Attention,high,PARTIAL,1
4.1,3,Silence,high,CONFIRMED,0
4.1,3,Signature,high,CONFIRMED,0
4.1,4,Duration,high,PARTIAL,1
4.1,4,Register,high,CONFIRMED,0
4.1,4,Concreteness,high,CONFIRMED,0
4.1,4,Interiority,high,PARTIAL,1
4.1,4,Attention,high,VIOLATED,2
4.1,4,Silence,high,CONFIRMED,0
4.1,4,Signature,high,CONFIRMED,0
4.1,5,Duration,high,VIOLATED,2
4.1,5,Register,high,CONFIRMED,0
4.1,5,Concreteness,high,CONFIRMED,0
4.1,5,Interiority,high,CONFIRMED,0
4.1,5,Attention,high,VIOLATED,2
4.1,5,Silence,high,CONFIRMED,0
4.1,5,Signature,high,CONFIRMED,0
4.1,6,Duration,high,VIOLATED,2
4.1,6,Register,high,CONFIRMED,0
4.1,6,Concreteness,high,CONFIRMED,0
4.1,6,Interiority,high,CONFIRMED,0
4.1,6,Attention,high,CONFIRMED,0
4.1,6,Silence,high,CONFIRMED,0
4.1,6,Signature,high,CONFIRMED,0
4.1,7,Duration,med,PARTIAL,1
4.1,7,Register,med,CONFIRMED,0
4.1,7,Concreteness,med,CONFIRMED,0
4.1,7,Interiority,med,PARTIAL,1
4.1,7,Attention,med,PARTIAL,1
4.1,7,Silence,med,CONFIRMED,0
4.1,7,Signature,med,CONFIRMED,0
4.1,8,Duration,high,VIOLATED,2
4.1,8,Register,high,CONFIRMED,0
4.1,8,Concreteness,high,CONFIRMED,0
4.1,8,Interiority,high,PARTIAL,1
4.1,8,Attention,high,PARTIAL,1
4.1,8,Silence,high,CONFIRMED,0
4.1,8,Signature,high,CONFIRMED,0
4.1,9,Duration,high,VIOLATED,2
4.1,9,Register,high,PARTIAL,1
4.1,9,Concreteness,high,CONFIRMED,0
4.1,9,Interiority,high,PARTIAL,1
4.1,9,Attention,high,VIOLATED,2
4.1,9,Silence,high,CONFIRMED,0
4.1,9,Signature,high,CONFIRMED,0
4.1,10,Duration,med,CONFIRMED,0
4.1,10,Register,med,CONFIRMED,0
4.1,10,Concreteness,med,CONFIRMED,0
4.1,10,Interiority,med,CONFIRMED,0
4.1,10,Attention,med,CONFIRMED,0
4.1,10,Silence,med,CONFIRMED,0
4.1,10,Signature,med,PARTIAL,1
4.1,11,Duration,high,VIOLATED,2
4.1,11,Register,high,VIOLATED,2
4.1,11,Concreteness,high,PARTIAL,1
4.1,11,Interiority,high,VIOLATED,2
4.1,11,Attention,high,VIOLATED,2
4.1,11,Silence,high,PARTIAL,1
4.1,11,Signature,high,PARTIAL,1
4.1,12,Duration,,N/A,
4.1,12,Register,,N/A,
4.1,12,Concreteness,,N/A,
4.1,12,Interiority,,N/A,
4.1,12,Attention,,N/A,
4.1,12,Silence,,N/A,
4.1,12,Signature,,N/A,
4.2,1,Duration,med,VIOLATED,1.5
4.2,1,Register,med,PARTIAL,1
4.2,1,Concreteness,med,CONFIRMED,0
4.2,1,Interiority,med,CONFIRMED,0
4.2,1,Attention,,N/A,
4.2,1,Silence,med,CONFIRMED,0
4.2,1,Signature,med,CONFIRMED,0
4.2,2,Duration,high,CONFIRMED,0
4.2,2,Register,high,CONFIRMED,0
4.2,2,Concreteness,high,CONFIRMED,0
4.2,2,Interiority,high,CONFIRMED,0
4.2,2,Attention,high,CONFIRMED,0
4.2,2,Silence,high,PARTIAL,1
4.2,2,Signature,high,PARTIAL,1
4.2,3,Duration,high,VIOLATED,2
4.2,3,Register,high,CONFIRMED,0
4.2,3,Concreteness,high,PARTIAL,1
4.2,3,Interiority,high,CONFIRMED,0
4.2,3,Attention,high,PARTIAL,1
4.2,3,Silence,high,VIOLATED,2
4.2,3,Signature,high,PARTIAL,1
4.2,4,Duration,high,PARTIAL,1
4.2,4,Register,high,CONFIRMED,0
4.2,4,Concreteness,high,PARTIAL,1
4.2,4,Interiority,high,CONFIRMED,0
4.2,4,Attention,high,PARTIAL,1
4.2,4,Silence,high,CONFIRMED,0
4.2,4,Signature,high,CONFIRMED,0
4.2,5,Duration,high,CONFIRMED,0
4.2,5,Register,high,CONFIRMED,0
4.2,5,Concreteness,high,PARTIAL,1
4.2,5,Interiority,high,CONFIRMED,0
4.2,5,Attention,high,PARTIAL,1
4.2,5,Silence,high,CONFIRMED,0
4.2,5,Signature,high,PARTIAL,1
4.2,6,Duration,high,VIOLATED,2
4.2,6,Register,high,CONFIRMED,0
4.2,6,Concreteness,high,PARTIAL,1
4.2,6,Interiority,high,PARTIAL,1
4.2,6,Attention,high,PARTIAL,1
4.2,6,Silence,high,CONFIRMED,0
4.2,6,Signature,high,PARTIAL,1
4.2,7,Duration,high,CONFIRMED,0
4.2,7,Register,high,CONFIRMED,0
4.2,7,Concreteness,high,CONFIRMED,0
4.2,7,Interiority,high,CONFIRMED,0
4.2,7,Attention,high,CONFIRMED,0
4.2,7,Silence,high,CONFIRMED,0
4.2,7,Signature,high,CONFIRMED,0
4.2,8,Duration,high,VIOLATED,2
4.2,8,Register,high,CONFIRMED,0
4.2,8,Concreteness,high,CONFIRMED,0
4.2,8,Interiority,high,CONFIRMED,0
4.2,8,Attention,high,CONFIRMED,0
4.2,8,Silence,high,CONFIRMED,0
4.2,8,Signature,high,CONFIRMED,0
4.2,9,Duration,high,VIOLATED,2
4.2,9,Register,high,PARTIAL,1
4.2,9,Concreteness,high,PARTIAL,1
4.2,9,Interiority,high,VIOLATED,2
4.2,9,Attention,high,VIOLATED,2
4.2,9,Silence,high,CONFIRMED,0
4.2,9,Signature,high,PARTIAL,1
4.2,10,Duration,high,CONFIRMED,0
4.2,10,Register,high,PARTIAL,1
4.2,10,Concreteness,high,CONFIRMED,0
4.2,10,Interiority,high,VIOLATED,2
4.2,10,Attention,high,PARTIAL,1
4.2,10,Silence,high,CONFIRMED,0
4.2,10,Signature,high,PARTIAL,1
4.2,11,Duration,high,PARTIAL,1
4.2,11,Register,high,VIOLATED,2
4.2,11,Concreteness,high,PARTIAL,1
4.2,11,Interiority,high,VIOLATED,2
4.2,11,Attention,high,VIOLATED,2
4.2,11,Silence,high,CONFIRMED,0
4.2,11,Signature,high,PARTIAL,1
4.2,12,Duration,,N/A,
4.2,12,Register,,N/A,
4.2,12,Concreteness,,N/A,
4.2,12,Interiority,,N/A,
4.2,12,Attention,,N/A,
4.2,12,Silence,,N/A,
4.2,12,Signature,,N/A,
4.3,1,Duration,med,PARTIAL,1
4.3,1,Register,med,VIOLATED,1.5
4.3,1,Concreteness,med,VIOLATED,1.5
4.3,1,Interiority,med,CONFIRMED,0
4.3,1,Attention,med,VIOLATED,1.5
4.3,1,Silence,med,PARTIAL,1
4.3,1,Signature,med,CONFIRMED,0
4.3,2,Duration,high,VIOLATED,2
4.3,2,Register,high,CONFIRMED,0
4.3,2,Concreteness,high,PARTIAL,1
4.3,2,Interiority,high,CONFIRMED,0
4.3,2,Attention,high,CONFIRMED,0
4.3,2,Silence,high,CONFIRMED,0
4.3,2,Signature,high,PARTIAL,1
4.3,3,Duration,high,VIOLATED,2
4.3,3,Register,high,CONFIRMED,0
4.3,3,Concreteness,high,CONFIRMED,0
4.3,3,Interiority,high,CONFIRMED,0
4.3,3,Attention,high,CONFIRMED,0
4.3,3,Silence,high,CONFIRMED,0
4.3,3,Signature,high,PARTIAL,1
4.3,4,Duration,high,VIOLATED,2
4.3,4,Register,high,CONFIRMED,0
4.3,4,Concreteness,high,PARTIAL,1
4.3,4,Interiority,high,PARTIAL,1
4.3,4,Attention,high,PARTIAL,1
4.3,4,Silence,high,CONFIRMED,0
4.3,4,Signature,high,PARTIAL,1
4.3,5,Duration,high,CONFIRMED,0
4.3,5,Register,high,PARTIAL,1
4.3,5,Concreteness,high,CONFIRMED,0
4.3,5,Interiority,high,PARTIAL,1
4.3,5,Attention,high,CONFIRMED,0
4.3,5,Silence,high,CONFIRMED,0
4.3,5,Signature,high,VIOLATED,2
4.3,6,Duration,med,VIOLATED,1.5
4.3,6,Register,med,PARTIAL,1
4.3,6,Concreteness,med,PARTIAL,1
4.3,6,Interiority,med,CONFIRMED,0
4.3,6,Attention,,N/A,
4.3,6,Silence,med,CONFIRMED,0
4.3,6,Signature,med,CONFIRMED,0
4.3,7,Duration,med,VIOLATED,1.5
4.3,7,Register,med,CONFIRMED,0
4.3,7,Concreteness,med,CONFIRMED,0
4.3,7,Interiority,med,PARTIAL,1
4.3,7,Attention,med,VIOLATED,1.5
4.3,7,Silence,med,CONFIRMED,0
4.3,7,Signature,med,PARTIAL,1
4.3,8,Duration,,N/A,
4.3,8,Register,high,CONFIRMED,0
4.3,8,Concreteness,,N/A,
4.3,8,Interiority,,N/A,
4.3,8,Attention,high,PARTIAL,1
4.3,8,Silence,,N/A,
4.3,8,Signature,high,CONFIRMED,0
4.3,9,Duration,high,VIOLATED,2
4.3,9,Register,high,PARTIAL,1
4.3,9,Concreteness,high,PARTIAL,1
4.3,9,Interiority,high,VIOLATED,2
4.3,9,Attention,high,VIOLATED,2
4.3,9,Silence,high,PARTIAL,1
4.3,9,Signature,high,PARTIAL,1
4.3,10,Duration,med,CONFIRMED,0
4.3,10,Register,med,CONFIRMED,0
4.3,10,Concreteness,med,CONFIRMED,0
4.3,10,Interiority,med,CONFIRMED,0
4.3,10,Attention,med,CONFIRMED,0
4.3,10,Silence,med,CONFIRMED,0
4.3,10,Signature,med,CONFIRMED,0
4.3,11,Duration,high,CONFIRMED,0
4.3,11,Register,high,PARTIAL,1
4.3,11,Concreteness,high,CONFIRMED,0
4.3,11,Interiority,high,VIOLATED,2
4.3,11,Attention,high,VIOLATED,2
4.3,11,Silence,high,PARTIAL,1
4.3,11,Signature,high,PARTIAL,1
4.3,12,Duration,,N/A,
4.3,12,Register,,N/A,
4.3,12,Concreteness,,N/A,
4.3,12,Interiority,,N/A,
4.3,12,Attention,,N/A,
4.3,12,Silence,,N/A,
4.3,12,Signature,,N/A,
4.4,1,Duration,med,VIOLATED,1.5
4.4,1,Register,med,PARTIAL,1
4.4,1,Concreteness,med,CONFIRMED,0
4.4,1,Interiority,med,CONFIRMED,0
4.4,1,Attention,med,VIOLATED,1.5
4.4,1,Silence,med,CONFIRMED,0
4.4,1,Signature,med,CONFIRMED,0
4.4,2,Duration,high,CONFIRMED,0
